Experiment	Well	Rate	  R	Max OD	 lagTime
Efm_OD_42_new	EFM7s_8	0.00678	0.99951	0.517	245.9
Efm_OD_42_new	EFM7s_9	0.00665	0.99969	0.513	231.8
Efm_OD_42_new	EFM7s_10	0.00645	0.99983	0.496	229.9
Efm_OD_42_new	EFM7s_11	0.00688	0.99929	0.405	281.2
Efm_OD_42_new	EFM7s_12	0.00724	0.99960	0.408	291.6
Efm_OD_42_new	EFM7s_13	0.00692	0.99931	0.455	267.6
Efm_OD_42_new	EFM7s_14	0.00710	0.99933	0.462	268.8
Efm_OD_42_new	EFM7s_15	0.00745	0.99915	0.407	284.3
Efm_OD_42_new	EFM7s_16	0.00742	0.99959	0.407	285.4
Efm_OD_42_new	EFM7s_17	0.00710	0.99923	0.387	287.7
Efm_OD_42_new	EFM7s_18	0.00719	0.99922	0.384	289.4
Efm_OD_42_new	EFM7s_19	0.00696	0.99951	0.430	265.9
Efm_OD_42_new	EFM7s_20	0.00699	0.99984	0.427	271.0
Efm_OD_42_new	EFM8s_1	0.01427	0.99865	0.908	119.6
Efm_OD_42_new	EFM8s_2	0.01416	0.99861	0.962	121.5
Efm_OD_42_new	EFM8s_3	0.01421	0.99876	0.907	134.2
Efm_OD_42_new	EFM8s_4	0.01441	0.99875	0.906	133.3
Efm_OD_42_new	EFM8s_5	0.01505	0.99930	0.886	129.0
Efm_OD_42_new	EFM8s_6	0.01526	0.99943	0.895	128.0
Efm_OD_42_new	EFM8s_7	0.01457	0.99860	0.896	127.8
Efm_OD_42_new	EFM8s_8	0.01483	0.99816	0.918	125.7
Efm_OD_42_new	EFM8s_9	0.01489	0.99935	0.922	127.3
Efm_OD_42_new	EFM8s_10	0.01435	0.99863	0.901	119.2
Efm_OD_42_new	EFM8s_11	0.01545	0.99801	0.955	125.9
Efm_OD_42_new	EFM8s_12	0.01498	0.99799	0.928	125.6
Efm_OD_42_new	EFM8s_13	0.01480	0.99798	0.940	128.7
Efm_OD_42_new	EFM8s_14	0.01471	0.99833	0.924	129.3
Efm_OD_42_new	EFM8s_15	0.01514	0.99800	0.928	131.6
Efm_OD_42_new	EFM8s_16	0.01508	0.99815	0.932	131.4
Efm_OD_42_new	EFM8s_17	0.01509	0.99846	0.937	123.4
Efm_OD_42_new	EFM8s_18	0.01500	0.99844	0.925	122.7
Efm_OD_42_new	EFM8s_19	0.01471	0.99797	0.923	125.5
Efm_OD_42_new	EFM8s_20	0.01541	0.99949	0.889	126.9
Efm_OD_42_new	EFM9s_1	0.01682	0.99888	1.213	104.9
Efm_OD_42_new	EFM9s_2	0.01774	0.99899	1.247	106.2
Efm_OD_42_new	EFM9s_3	0.01689	0.99792	1.167	96.5
Efm_OD_42_new	EFM9s_4	0.01665	0.99774	1.169	96.9
Efm_OD_42_new	EFM9s_5	0.01704	0.99761	1.121	94.4
Efm_OD_42_new	EFM9s_6	0.01735	0.99755	1.146	93.5
Efm_OD_42_new	EFM9s_7	0.01752	0.99727	1.156	92.4
Efm_OD_42_new	EFM9s_8	0.01750	0.99699	1.194	91.0
Efm_OD_42_new	EFM9s_9	0.01712	0.99745	1.189	92.5
Efm_OD_42_new	EFM9s_10	0.01680	0.99712	1.191	91.0
Efm_OD_42_new	EFM9s_11	0.01685	0.99865	1.215	95.3
Efm_OD_42_new	EFM9s_12	0.01678	0.99865	1.251	97.5
Efm_OD_42_new	EFM9s_13	0.01679	0.99822	1.216	98.2
